ind	time	species	percent_of_full_microbiome	percent_within_assigned_family
Springbok_B	Day 2	Verrucomicrobiaceae	0.011324664	1.59
Springbok_B	Day 3	Bacillaceae	0.005355239	0.78
Springbok_B	Day 3	Bacteroidaceae	0.060579626	8.77
Springbok_B	Day 3	Clostridiaceae	0.005597557	0.81
Springbok_B	Day 3	Coriobacteriaceae	0.003804401	0.55
Springbok_B	Day 3	Enterobacteriaceae	0.006760686	0.98
Springbok_B	Day 3	Enterococcaceae	0.000702724	0.1
Springbok_B	Day 3	Lachnospiraceae	0.144082582	20.86
Springbok_B	Day 3	Micrococcaceae	0.000945042	0.14
Springbok_B	Day 3	Mogibacteriaceae	0.012915576	1.87
Springbok_B	Day 3	Planococcaceae	0.117451779	17
Springbok_B	Day 3	Prevotellaceae	0.005403703	0.78
Springbok_B	Day 3	Rikenellaceae	0.008311525	1.2
Springbok_B	Day 3	Ruminococcaceae	0.275370747	39.87
Springbok_B	Day 3	S24-7	0.024789183	3.59
Springbok_B	Day 3	Veillonellaceae	0.008432684	1.22
Springbok_B	Day 3	Verrucomicrobiaceae	0.010201609	1.48
Springbok_B	Day 4	Bacillaceae	0.023395877	3.65
Springbok_B	Day 4	Bacteroidaceae	0.004227473	0.66
Springbok_B	Day 4	Clostridiaceae	0.003185082	0.5
Springbok_B	Day 4	Coriobacteriaceae	0.004401205	0.69
Springbok_B	Day 4	Enterobacteriaceae	0.02374334	3.7
Springbok_B	Day 4	Enterococcaceae	0.015172574	2.36
Springbok_B	Day 4	Lachnospiraceae	0.017083623	2.66
Springbok_B	Day 4	Micrococcaceae	0.218264999	34.02
Springbok_B	Day 4	Mogibacteriaceae	0.013203614	2.06
Springbok_B	Day 4	Planococcaceae	0.27270095	42.5
Springbok_B	Day 4	Prevotellaceae	0.000115821	0.02
Springbok_B	Day 4	Rikenellaceae	0.000231642	0.04
Springbok_B	Day 4	Ruminococcaceae	0.042158907	6.57
Springbok_B	Day 4	S24-7	0.001100301	0.17
Springbok_B	Day 4	Veillonellaceae	0.000926569	0.14
Springbok_B	Day 4	Verrucomicrobiaceae	0.001737318	0.27
Springbok_B	Day 5	Bacillaceae	0.015804682	2.11
